




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of macrophage differentiation (GO:0045649)	22	3	.29	+	10.30	4.10E-03	3.92E-02
regulation of myoblast fusion (GO:1901739)	22	3	.29	+	10.30	4.10E-03	3.91E-02
response to food (GO:0032094)	22	3	.29	+	10.30	4.10E-03	3.91E-02
positive regulation of nitric-oxide synthase activity (GO:0051000)	22	3	.29	+	10.30	4.10E-03	3.91E-02
cellular response to angiotensin (GO:1904385)	22	3	.29	+	10.30	4.10E-03	3.91E-02
ribonucleoside catabolic process (GO:0042454)	22	3	.29	+	10.30	4.10E-03	3.90E-02
negative regulation of secretion (GO:0051048)	228	9	3.02	+	2.98	4.11E-03	3.91E-02
sensory perception of pain (GO:0019233)	76	5	1.01	+	4.97	4.20E-03	3.99E-02
calcium ion transmembrane import into cytosol (GO:0097553)	76	5	1.01	+	4.97	4.20E-03	3.99E-02
negative regulation of ossification (GO:0030279)	76	5	1.01	+	4.97	4.20E-03	3.98E-02
cAMP-mediated signaling (GO:0019933)	147	7	1.95	+	3.60	4.20E-03	3.98E-02
regulation of DNA replication (GO:0006275)	110	6	1.46	+	4.12	4.22E-03	4.00E-02
nucleoside metabolic process (GO:0009116)	110	6	1.46	+	4.12	4.22E-03	4.00E-02
amide transport (GO:0042886)	1600	35	21.18	+	1.65	4.23E-03	4.01E-02
protein localization (GO:0008104)	2215	45	29.33	+	1.53	4.26E-03	4.03E-02
drug metabolic process (GO:0017144)	498	15	6.59	+	2.27	4.32E-03	4.08E-02
chordate embryonic development (GO:0043009)	646	18	8.55	+	2.10	4.37E-03	4.13E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	47	4	.62	+	6.43	4.40E-03	4.16E-02
regulation of endocrine process (GO:0044060)	47	4	.62	+	6.43	4.40E-03	4.16E-02
endoderm development (GO:0007492)	77	5	1.02	+	4.90	4.42E-03	4.17E-02
organic substance transport (GO:0071702)	2232	45	29.55	+	1.52	4.49E-03	4.23E-02
cellular response to transforming growth factor beta stimulus (GO:0071560)	149	7	1.97	+	3.55	4.51E-03	4.25E-02
regulation of aldosterone secretion (GO:2000858)	6	2	.08	+	25.18	4.52E-03	4.26E-02
regulation of mineralocorticoid secretion (GO:2000855)	6	2	.08	+	25.18	4.52E-03	4.26E-02
regulation of cell adhesion molecule production (GO:0060353)	6	2	.08	+	25.18	4.52E-03	4.25E-02
wound healing involved in inflammatory response (GO:0002246)	6	2	.08	+	25.18	4.52E-03	4.25E-02
regulation of interferon-alpha biosynthetic process (GO:0045354)	6	2	.08	+	25.18	4.52E-03	4.25E-02
negative regulation of MHC class II biosynthetic process (GO:0045347)	6	2	.08	+	25.18	4.52E-03	4.25E-02
modulation by organism of apoptotic process in other organism involved in symbiotic interaction (GO:0052433)	6	2	.08	+	25.18	4.52E-03	4.24E-02
modulation of programmed cell death in other organism involved in symbiotic interaction (GO:0052248)	6	2	.08	+	25.18	4.52E-03	4.24E-02
modulation by symbiont of host apoptotic process (GO:0052150)	6	2	.08	+	25.18	4.52E-03	4.24E-02
modulation of apoptotic process in other organism (GO:0044532)	6	2	.08	+	25.18	4.52E-03	4.24E-02
modulation of programmed cell death in other organism (GO:0044531)	6	2	.08	+	25.18	4.52E-03	4.23E-02
astrocyte cell migration (GO:0043615)	6	2	.08	+	25.18	4.52E-03	4.23E-02
response to UV-A (GO:0070141)	6	2	.08	+	25.18	4.52E-03	4.23E-02
regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)	6	2	.08	+	25.18	4.52E-03	4.23E-02
positive regulation of prostaglandin biosynthetic process (GO:0031394)	6	2	.08	+	25.18	4.52E-03	4.22E-02
regulation of interferon-beta secretion (GO:0035547)	6	2	.08	+	25.18	4.52E-03	4.22E-02
regulation of peptidyl-tyrosine autophosphorylation (GO:1900084)	6	2	.08	+	25.18	4.52E-03	4.22E-02
positive regulation of xenophagy (GO:1904417)	6	2	.08	+	25.18	4.52E-03	4.22E-02
regulation of xenophagy (GO:1904415)	6	2	.08	+	25.18	4.52E-03	4.21E-02
necroptotic signaling pathway (GO:0097527)	6	2	.08	+	25.18	4.52E-03	4.21E-02
positive regulation of chemokine (C-C motif) ligand 2 secretion (GO:1904209)	6	2	.08	+	25.18	4.52E-03	4.21E-02
regulation of chemokine (C-C motif) ligand 2 secretion (GO:1904207)	6	2	.08	+	25.18	4.52E-03	4.21E-02
positive regulation of DNA catabolic process (GO:1903626)	6	2	.08	+	25.18	4.52E-03	4.20E-02
CD40 signaling pathway (GO:0023035)	6	2	.08	+	25.18	4.52E-03	4.20E-02
positive regulation of platelet activation (GO:0010572)	6	2	.08	+	25.18	4.52E-03	4.20E-02
Toll signaling pathway (GO:0008063)	6	2	.08	+	25.18	4.52E-03	4.20E-02
negative regulation of cytokine secretion involved in immune response (GO:0002740)	6	2	.08	+	25.18	4.52E-03	4.19E-02
positive regulation of myeloid dendritic cell cytokine production (GO:0002735)	6	2	.08	+	25.18	4.52E-03	4.19E-02
regulation of myeloid dendritic cell cytokine production (GO:0002733)	6	2	.08	+	25.18	4.52E-03	4.19E-02
cytokine production involved in immune response (GO:0002367)	23	3	.30	+	9.85	4.59E-03	4.25E-02
natural killer cell activation involved in immune response (GO:0002323)	23	3	.30	+	9.85	4.59E-03	4.25E-02
positive regulation of gene silencing by miRNA (GO:2000637)	23	3	.30	+	9.85	4.59E-03	4.25E-02
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	23	3	.30	+	9.85	4.59E-03	4.25E-02
negative regulation of lipid catabolic process (GO:0050995)	23	3	.30	+	9.85	4.59E-03	4.24E-02
negative regulation of cell killing (GO:0031342)	23	3	.30	+	9.85	4.59E-03	4.24E-02
positive regulation of response to oxidative stress (GO:1902884)	23	3	.30	+	9.85	4.59E-03	4.24E-02
positive regulation of biomineralization (GO:0110151)	48	4	.64	+	6.29	4.72E-03	4.35E-02
regulation of release of cytochrome c from mitochondria (GO:0090199)	48	4	.64	+	6.29	4.72E-03	4.35E-02
positive regulation of biomineral tissue development (GO:0070169)	48	4	.64	+	6.29	4.72E-03	4.35E-02
establishment of protein localization (GO:0045184)	1628	35	21.56	+	1.62	4.74E-03	4.36E-02
regulation of mitochondrion organization (GO:0010821)	191	8	2.53	+	3.16	4.77E-03	4.39E-02
reactive oxygen species metabolic process (GO:0072593)	113	6	1.50	+	4.01	4.78E-03	4.40E-02
negative regulation of lymphocyte proliferation (GO:0050672)	79	5	1.05	+	4.78	4.90E-03	4.50E-02
nucleic acid metabolic process (GO:0090304)	2300	46	30.45	+	1.51	4.97E-03	4.57E-02
cellular component morphogenesis (GO:0032989)	829	21	10.98	+	1.91	4.98E-03	4.57E-02
embryo development ending in birth or egg hatching (GO:0009792)	663	18	8.78	+	2.05	5.00E-03	4.59E-02
endothelial cell development (GO:0001885)	49	4	.65	+	6.17	5.06E-03	4.63E-02
response to epidermal growth factor (GO:0070849)	49	4	.65	+	6.17	5.06E-03	4.63E-02
digestive tract morphogenesis (GO:0048546)	49	4	.65	+	6.17	5.06E-03	4.63E-02
thymus development (GO:0048538)	49	4	.65	+	6.17	5.06E-03	4.63E-02
regulation of cardiocyte differentiation (GO:1905207)	49	4	.65	+	6.17	5.06E-03	4.62E-02
nucleobase-containing small molecule catabolic process (GO:0034656)	49	4	.65	+	6.17	5.06E-03	4.62E-02
positive regulation of toll-like receptor signaling pathway (GO:0034123)	24	3	.32	+	9.44	5.12E-03	4.68E-02
cell adhesion mediated by integrin (GO:0033627)	24	3	.32	+	9.44	5.12E-03	4.67E-02
negative regulation of protein localization to plasma membrane (GO:1903077)	24	3	.32	+	9.44	5.12E-03	4.67E-02
positive regulation of posttranscriptional gene silencing (GO:0060148)	24	3	.32	+	9.44	5.12E-03	4.67E-02
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	24	3	.32	+	9.44	5.12E-03	4.67E-02
positive regulation of membrane permeability (GO:1905710)	24	3	.32	+	9.44	5.12E-03	4.66E-02
negative regulation of cell motility (GO:2000146)	281	10	3.72	+	2.69	5.14E-03	4.68E-02
protein targeting to peroxisome (GO:0006625)	80	5	1.06	+	4.72	5.15E-03	4.69E-02
peroxisomal transport (GO:0043574)	80	5	1.06	+	4.72	5.15E-03	4.69E-02
regulation of cardiac muscle tissue development (GO:0055024)	80	5	1.06	+	4.72	5.15E-03	4.68E-02
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	80	5	1.06	+	4.72	5.15E-03	4.68E-02
establishment of protein localization to peroxisome (GO:0072663)	80	5	1.06	+	4.72	5.15E-03	4.68E-02
protein localization to peroxisome (GO:0072662)	80	5	1.06	+	4.72	5.15E-03	4.67E-02
cell projection organization (GO:0030030)	1163	27	15.40	+	1.75	5.30E-03	4.80E-02
sensory perception of smell (GO:0007608)	462	0	6.12	-	 < 0.01	5.35E-03	4.85E-02
developmental maturation (GO:0021700)	238	9	3.15	+	2.86	5.37E-03	4.86E-02
antigen processing and presentation of peptide antigen (GO:0048002)	195	8	2.58	+	3.10	5.37E-03	4.86E-02
regulation of circadian rhythm (GO:0042752)	116	6	1.54	+	3.91	5.39E-03	4.88E-02
cardiocyte differentiation (GO:0035051)	116	6	1.54	+	3.91	5.39E-03	4.88E-02
regulation of telomerase activity (GO:0051972)	50	4	.66	+	6.04	5.41E-03	4.88E-02
response to axon injury (GO:0048678)	50	4	.66	+	6.04	5.41E-03	4.88E-02
endothelial cell differentiation (GO:0045446)	81	5	1.07	+	4.66	5.41E-03	4.89E-02
cellular response to UV (GO:0034644)	81	5	1.07	+	4.66	5.41E-03	4.88E-02
